"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2021","385443471.18","bilanz","ktn_gdn_ge","CHF","fs"
"101","","2021","2775222707.32","bilanz","ktn_gdn_ge","CHF","fs"
"102","","2021","301620192.24","bilanz","ktn_gdn_ge","CHF","fs"
"104","","2021","1157334801.86","bilanz","ktn_gdn_ge","CHF","fs"
"106","","2021","20021526.5","bilanz","ktn_gdn_ge","CHF","fs"
"107","","2021","1581500040.49","bilanz","ktn_gdn_ge","CHF","fs"
"108","","2021","5548822446.21","bilanz","ktn_gdn_ge","CHF","fs"
"109","","2021","16621195.86","bilanz","ktn_gdn_ge","CHF","fs"
"140","","2021","15597347569.43","bilanz","ktn_gdn_ge","CHF","fs"
"141","","2021","744131","bilanz","ktn_gdn_ge","CHF","fs"
"142","","2021","178843465.26","bilanz","ktn_gdn_ge","CHF","fs"
"143","","2021","","bilanz","ktn_gdn_ge","CHF","fs"
"144","","2021","851331794.02","bilanz","ktn_gdn_ge","CHF","fs"
"145","","2021","2286640690.28","bilanz","ktn_gdn_ge","CHF","fs"
"146","","2021","1542816358.63","bilanz","ktn_gdn_ge","CHF","fs"
"147","","2021","","bilanz","ktn_gdn_ge","CHF","fs"
"148","","2021","-138746222.53","bilanz","ktn_gdn_ge","CHF","fs"
"200","","2021","4408805686.61","bilanz","ktn_gdn_ge","CHF","fs"
"201","","2021","2374384591.74","bilanz","ktn_gdn_ge","CHF","fs"
"204","","2021","398946876.19","bilanz","ktn_gdn_ge","CHF","fs"
"205","","2021","282970066.17","bilanz","ktn_gdn_ge","CHF","fs"
"206","","2021","17852787010.58","bilanz","ktn_gdn_ge","CHF","fs"
"207","","2021","","bilanz","ktn_gdn_ge","CHF","fs"
"208","","2021","247765479.39","bilanz","ktn_gdn_ge","CHF","fs"
"209","","2021","382128201.12","bilanz","ktn_gdn_ge","CHF","fs"
"290","","2021","356247728.13","bilanz","ktn_gdn_ge","CHF","fs"
"292","","2021","","bilanz","ktn_gdn_ge","CHF","fs"
"293","","2021","3429337","bilanz","ktn_gdn_ge","CHF","fs"
"294","","2021","-3457769471.86","bilanz","ktn_gdn_ge","CHF","fs"
"295","","2021","743378","bilanz","ktn_gdn_ge","CHF","fs"
"296","","2021","87895044.95","bilanz","ktn_gdn_ge","CHF","fs"
"298","","2021","20114678.55","bilanz","ktn_gdn_ge","CHF","fs"
"299","","2021","9147115561.18","bilanz","ktn_gdn_ge","CHF","fs"
"empty","","2021","","er","ktn_gdn_ge","CHF","fs"
"empty","","2021","","er","ktn_gdn_ge","CHF","fs"
"empty","","2021","","er","ktn_gdn_ge","CHF","fs"
"empty","","2021","","er","ktn_gdn_ge","CHF","fs"
"300","","2021","62946400.81","aufwand","ktn_gdn_ge","CHF","fs"
"301","","2021","2329045828.37","aufwand","ktn_gdn_ge","CHF","fs"
"302","","2021","1243017762.63","aufwand","ktn_gdn_ge","CHF","fs"
"303","","2021","19761191.28","aufwand","ktn_gdn_ge","CHF","fs"
"304","","2021","78336153.9900001","aufwand","ktn_gdn_ge","CHF","fs"
"305","","2021","858631944.17","aufwand","ktn_gdn_ge","CHF","fs"
"306","","2021","17087487.75","aufwand","ktn_gdn_ge","CHF","fs"
"309","","2021","25437818.31","aufwand","ktn_gdn_ge","CHF","fs"
"310","","2021","125470433.08","aufwand","ktn_gdn_ge","CHF","fs"
"311","","2021","29306477.66","aufwand","ktn_gdn_ge","CHF","fs"
"312","","2021","80735109.49","aufwand","ktn_gdn_ge","CHF","fs"
"313","","2021","454246630.79","aufwand","ktn_gdn_ge","CHF","fs"
"314","","2021","204516720.65","aufwand","ktn_gdn_ge","CHF","fs"
"315","","2021","51362258.33","aufwand","ktn_gdn_ge","CHF","fs"
"316","","2021","102669220.27","aufwand","ktn_gdn_ge","CHF","fs"
"317","","2021","12583481.18","aufwand","ktn_gdn_ge","CHF","fs"
"318","","2021","182818233.96","aufwand","ktn_gdn_ge","CHF","fs"
"319","","2021","37706453.57","aufwand","ktn_gdn_ge","CHF","fs"
"320","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"331","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"337","","2021","618804599.84","aufwand","ktn_gdn_ge","CHF","fs"
"338","","2021","393533.57","aufwand","ktn_gdn_ge","CHF","fs"
"340","","2021","230914949.03","aufwand","ktn_gdn_ge","CHF","fs"
"341","","2021","11608704.83","aufwand","ktn_gdn_ge","CHF","fs"
"342","","2021","2457046.6","aufwand","ktn_gdn_ge","CHF","fs"
"343","","2021","65969189.13","aufwand","ktn_gdn_ge","CHF","fs"
"344","","2021","12259892.78","aufwand","ktn_gdn_ge","CHF","fs"
"349","","2021","2688294.73","aufwand","ktn_gdn_ge","CHF","fs"
"350","","2021","20922792.47","aufwand","ktn_gdn_ge","CHF","fs"
"351","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"352","","2021","1585352","aufwand","ktn_gdn_ge","CHF","fs"
"3600","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36010","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36011","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36012","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36013","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36014","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36015","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36016","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36017","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36018","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36019","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36021","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36022","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36023","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36029","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"3603","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"3604","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"3610","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"3611","","2021","28937610.67","aufwand","ktn_gdn_ge","CHF","fs"
"3612","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"3613","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"3614","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"3620","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36211","","2021","321093802","aufwand","ktn_gdn_ge","CHF","fs"
"36212","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36213","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36214","","2021","4615464","aufwand","ktn_gdn_ge","CHF","fs"
"36215","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36216","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36217","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36219","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36221","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36222","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36223","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36224","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36225","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36226","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36227","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"36228","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"3624","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"3629","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"3630","","2021","1e+06","aufwand","ktn_gdn_ge","CHF","fs"
"3631","","2021","137151123.65","aufwand","ktn_gdn_ge","CHF","fs"
"3632","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"3633","","2021","15752675.9","aufwand","ktn_gdn_ge","CHF","fs"
"3634","","2021","1530079852.49","aufwand","ktn_gdn_ge","CHF","fs"
"3635","","2021","50493131.77","aufwand","ktn_gdn_ge","CHF","fs"
"3636","","2021","1091307929.56","aufwand","ktn_gdn_ge","CHF","fs"
"3637","","2021","1886926128.31","aufwand","ktn_gdn_ge","CHF","fs"
"3638","","2021","356650564.84","aufwand","ktn_gdn_ge","CHF","fs"
"3639","","2021","52162400.75","aufwand","ktn_gdn_ge","CHF","fs"
"364","","2021","4769549.3","aufwand","ktn_gdn_ge","CHF","fs"
"365","","2021","192905","aufwand","ktn_gdn_ge","CHF","fs"
"366","","2021","140375851.71","aufwand","ktn_gdn_ge","CHF","fs"
"369","","2021","3153488.33","aufwand","ktn_gdn_ge","CHF","fs"
"380","","2021","-20094208","aufwand","ktn_gdn_ge","CHF","fs"
"381","","2021","15925715.11","aufwand","ktn_gdn_ge","CHF","fs"
"383","","2021","50129655.22","aufwand","ktn_gdn_ge","CHF","fs"
"384","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"3860","","2021","252258","aufwand","ktn_gdn_ge","CHF","fs"
"3861","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"3862","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"3863","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"3864","","2021","149577635","aufwand","ktn_gdn_ge","CHF","fs"
"3865","","2021","559331080.67","aufwand","ktn_gdn_ge","CHF","fs"
"3866","","2021","50393580.98","aufwand","ktn_gdn_ge","CHF","fs"
"3867","","2021","1400000","aufwand","ktn_gdn_ge","CHF","fs"
"3868","","2021","","aufwand","ktn_gdn_ge","CHF","fs"
"387","","2021","9615795.8","aufwand","ktn_gdn_ge","CHF","fs"
"389","","2021","204837326.7","aufwand","ktn_gdn_ge","CHF","fs"
"4000","","2021","3392522078.97","ertrag","ktn_gdn_ge","CHF","fs"
"4001","","2021","1186296318.55","ertrag","ktn_gdn_ge","CHF","fs"
"4002","","2021","1377707208.59","ertrag","ktn_gdn_ge","CHF","fs"
"4008","","2021","7291378.52","ertrag","ktn_gdn_ge","CHF","fs"
"4009","","2021","","ertrag","ktn_gdn_ge","CHF","fs"
"4010","","2021","1754549273.45","ertrag","ktn_gdn_ge","CHF","fs"
"4011","","2021","331908105.19","ertrag","ktn_gdn_ge","CHF","fs"
"4012","","2021","","ertrag","ktn_gdn_ge","CHF","fs"
"4019","","2021","195435998.83","ertrag","ktn_gdn_ge","CHF","fs"
"4020","","2021","","ertrag","ktn_gdn_ge","CHF","fs"
"4021","","2021","285720862.4","ertrag","ktn_gdn_ge","CHF","fs"
"4022","","2021","194575831.6","ertrag","ktn_gdn_ge","CHF","fs"
"4023","","2021","327765177.3","ertrag","ktn_gdn_ge","CHF","fs"
"4024","","2021","187317470.8","ertrag","ktn_gdn_ge","CHF","fs"
"4025","","2021","3545981.8","ertrag","ktn_gdn_ge","CHF","fs"
"4030","","2021","116693464.8","ertrag","ktn_gdn_ge","CHF","fs"
"4031","","2021","2510060.85","ertrag","ktn_gdn_ge","CHF","fs"
"4032","","2021","","ertrag","ktn_gdn_ge","CHF","fs"
"4033","","2021","2267231.38","ertrag","ktn_gdn_ge","CHF","fs"
"4039","","2021","","ertrag","ktn_gdn_ge","CHF","fs"
"4040","","2021","","ertrag","ktn_gdn_ge","CHF","fs"
"4041","","2021","","ertrag","ktn_gdn_ge","CHF","fs"
"4042","","2021","","ertrag","ktn_gdn_ge","CHF","fs"
"4043","","2021","","ertrag","ktn_gdn_ge","CHF","fs"
"4044","","2021","","ertrag","ktn_gdn_ge","CHF","fs"
"4045","","2021","","ertrag","ktn_gdn_ge","CHF","fs"
"4046","","2021","","ertrag","ktn_gdn_ge","CHF","fs"
"4047","","2021","","ertrag","ktn_gdn_ge","CHF","fs"
"4049","","2021","","ertrag","ktn_gdn_ge","CHF","fs"
"4050","","2021","","ertrag","ktn_gdn_ge","CHF","fs"
"4051","","2021","","ertrag","ktn_gdn_ge","CHF","fs"
"4052","","2021","","ertrag","ktn_gdn_ge","CHF","fs"
"4053","","2021","","ertrag","ktn_gdn_ge","CHF","fs"
"4059","","2021","","ertrag","ktn_gdn_ge","CHF","fs"
"4060","","2021","","ertrag","ktn_gdn_ge","CHF","fs"
"4070","","2021","","ertrag","ktn_gdn_ge","CHF","fs"
"4071","","2021","","ertrag","ktn_gdn_ge","CHF","fs"
"4072","","2021","","ertrag","ktn_gdn_ge","CHF","fs"
"4079","","2021","","ertrag","ktn_gdn_ge","CHF","fs"
