"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2022","99993452.14","bilanz","ktn_ag","CHF","fs"
"101","","2022","1132563839.79","bilanz","ktn_ag","CHF","fs"
"102","","2022","1367500000","bilanz","ktn_ag","CHF","fs"
"104","","2022","459656496.79","bilanz","ktn_ag","CHF","fs"
"106","","2022","6929180.29","bilanz","ktn_ag","CHF","fs"
"107","","2022","31171387.38","bilanz","ktn_ag","CHF","fs"
"108","","2022","49139437","bilanz","ktn_ag","CHF","fs"
"109","","2022","","bilanz","ktn_ag","CHF","fs"
"140","","2022","936618287.46","bilanz","ktn_ag","CHF","fs"
"141","","2022","","bilanz","ktn_ag","CHF","fs"
"142","","2022","","bilanz","ktn_ag","CHF","fs"
"143","","2022","","bilanz","ktn_ag","CHF","fs"
"144","","2022","14641903.72","bilanz","ktn_ag","CHF","fs"
"145","","2022","767627596","bilanz","ktn_ag","CHF","fs"
"146","","2022","","bilanz","ktn_ag","CHF","fs"
"147","","2022","","bilanz","ktn_ag","CHF","fs"
"148","","2022","","bilanz","ktn_ag","CHF","fs"
"200","","2022","981591925.69","bilanz","ktn_ag","CHF","fs"
"201","","2022","4.9e+07","bilanz","ktn_ag","CHF","fs"
"204","","2022","790566306.69","bilanz","ktn_ag","CHF","fs"
"205","","2022","255695304.92","bilanz","ktn_ag","CHF","fs"
"206","","2022","6.9e+08","bilanz","ktn_ag","CHF","fs"
"207","","2022","","bilanz","ktn_ag","CHF","fs"
"208","","2022","104014104.37","bilanz","ktn_ag","CHF","fs"
"209","","2022","52915977.1","bilanz","ktn_ag","CHF","fs"
"290","","2022","234188104.22","bilanz","ktn_ag","CHF","fs"
"292","","2022","87050504.03","bilanz","ktn_ag","CHF","fs"
"293","","2022","","bilanz","ktn_ag","CHF","fs"
"294","","2022","980058329.44","bilanz","ktn_ag","CHF","fs"
"295","","2022","","bilanz","ktn_ag","CHF","fs"
"296","","2022","","bilanz","ktn_ag","CHF","fs"
"298","","2022","815386449.29","bilanz","ktn_ag","CHF","fs"
"299","","2022","-174625425.18","bilanz","ktn_ag","CHF","fs"
"empty","","2022","","er","ktn_ag","CHF","fs"
"empty","","2022","","er","ktn_ag","CHF","fs"
"empty","","2022","","er","ktn_ag","CHF","fs"
"empty","","2022","","er","ktn_ag","CHF","fs"
"300","","2022","7064881.5","aufwand","ktn_ag","CHF","fs"
"301","","2022","506785653.49","aufwand","ktn_ag","CHF","fs"
"302","","2022","949130348.35","aufwand","ktn_ag","CHF","fs"
"303","","2022","1467421.48","aufwand","ktn_ag","CHF","fs"
"304","","2022","5899157.75","aufwand","ktn_ag","CHF","fs"
"305","","2022","262436449.22","aufwand","ktn_ag","CHF","fs"
"306","","2022","-2684274.85","aufwand","ktn_ag","CHF","fs"
"309","","2022","21568482.71","aufwand","ktn_ag","CHF","fs"
"310","","2022","27870247.68","aufwand","ktn_ag","CHF","fs"
"311","","2022","40168449.45","aufwand","ktn_ag","CHF","fs"
"312","","2022","16671787.2","aufwand","ktn_ag","CHF","fs"
"313","","2022","220344786.65","aufwand","ktn_ag","CHF","fs"
"314","","2022","36141073.27","aufwand","ktn_ag","CHF","fs"
"315","","2022","22024953.91","aufwand","ktn_ag","CHF","fs"
"316","","2022","32624773.12","aufwand","ktn_ag","CHF","fs"
"317","","2022","6815116.92","aufwand","ktn_ag","CHF","fs"
"318","","2022","32274839.12","aufwand","ktn_ag","CHF","fs"
"319","","2022","16925823.19","aufwand","ktn_ag","CHF","fs"
"320","","2022","","aufwand","ktn_ag","CHF","fs"
"331","","2022","","aufwand","ktn_ag","CHF","fs"
"337","","2022","176249378.27","aufwand","ktn_ag","CHF","fs"
"338","","2022","586080.02","aufwand","ktn_ag","CHF","fs"
"340","","2022","11350314.54","aufwand","ktn_ag","CHF","fs"
"341","","2022","364.02","aufwand","ktn_ag","CHF","fs"
"342","","2022","473219.81","aufwand","ktn_ag","CHF","fs"
"343","","2022","","aufwand","ktn_ag","CHF","fs"
"344","","2022","2876148","aufwand","ktn_ag","CHF","fs"
"349","","2022","1165565.74","aufwand","ktn_ag","CHF","fs"
"350","","2022","4591259.26","aufwand","ktn_ag","CHF","fs"
"351","","2022","136234822.16","aufwand","ktn_ag","CHF","fs"
"352","","2022","","aufwand","ktn_ag","CHF","fs"
"3600","","2022","","aufwand","ktn_ag","CHF","fs"
"36010","","2022","","aufwand","ktn_ag","CHF","fs"
"36011","","2022","","aufwand","ktn_ag","CHF","fs"
"36012","","2022","","aufwand","ktn_ag","CHF","fs"
"36013","","2022","","aufwand","ktn_ag","CHF","fs"
"36014","","2022","","aufwand","ktn_ag","CHF","fs"
"36015","","2022","","aufwand","ktn_ag","CHF","fs"
"36016","","2022","","aufwand","ktn_ag","CHF","fs"
"36017","","2022","","aufwand","ktn_ag","CHF","fs"
"36018","","2022","","aufwand","ktn_ag","CHF","fs"
"36019","","2022","","aufwand","ktn_ag","CHF","fs"
"36021","","2022","66302885.4","aufwand","ktn_ag","CHF","fs"
"36022","","2022","","aufwand","ktn_ag","CHF","fs"
"36023","","2022","","aufwand","ktn_ag","CHF","fs"
"36029","","2022","7317510.2","aufwand","ktn_ag","CHF","fs"
"3603","","2022","","aufwand","ktn_ag","CHF","fs"
"3604","","2022","","aufwand","ktn_ag","CHF","fs"
"3610","","2022","","aufwand","ktn_ag","CHF","fs"
"3611","","2022","42304948.99","aufwand","ktn_ag","CHF","fs"
"3612","","2022","1713309.98","aufwand","ktn_ag","CHF","fs"
"3613","","2022","","aufwand","ktn_ag","CHF","fs"
"3614","","2022","","aufwand","ktn_ag","CHF","fs"
"3620","","2022","","aufwand","ktn_ag","CHF","fs"
"36211","","2022","","aufwand","ktn_ag","CHF","fs"
"36212","","2022","","aufwand","ktn_ag","CHF","fs"
"36213","","2022","","aufwand","ktn_ag","CHF","fs"
"36214","","2022","5675197","aufwand","ktn_ag","CHF","fs"
"36215","","2022","","aufwand","ktn_ag","CHF","fs"
"36216","","2022","","aufwand","ktn_ag","CHF","fs"
"36217","","2022","","aufwand","ktn_ag","CHF","fs"
"36219","","2022","","aufwand","ktn_ag","CHF","fs"
"36221","","2022","","aufwand","ktn_ag","CHF","fs"
"36222","","2022","","aufwand","ktn_ag","CHF","fs"
"36223","","2022","","aufwand","ktn_ag","CHF","fs"
"36224","","2022","","aufwand","ktn_ag","CHF","fs"
"36225","","2022","128198300","aufwand","ktn_ag","CHF","fs"
"36226","","2022","","aufwand","ktn_ag","CHF","fs"
"36227","","2022","","aufwand","ktn_ag","CHF","fs"
"36228","","2022","","aufwand","ktn_ag","CHF","fs"
"3624","","2022","","aufwand","ktn_ag","CHF","fs"
"3629","","2022","","aufwand","ktn_ag","CHF","fs"
"3630","","2022","1750000","aufwand","ktn_ag","CHF","fs"
"3631","","2022","242448318.76","aufwand","ktn_ag","CHF","fs"
"3632","","2022","125542990.78","aufwand","ktn_ag","CHF","fs"
"3633","","2022","18033966.7","aufwand","ktn_ag","CHF","fs"
"3634","","2022","1260317687.73","aufwand","ktn_ag","CHF","fs"
"3635","","2022","142075788.58","aufwand","ktn_ag","CHF","fs"
"3636","","2022","553153475.78","aufwand","ktn_ag","CHF","fs"
"3637","","2022","700586433.21","aufwand","ktn_ag","CHF","fs"
"3638","","2022","2330000","aufwand","ktn_ag","CHF","fs"
"3639","","2022","13964855","aufwand","ktn_ag","CHF","fs"
"364","","2022","789045.5","aufwand","ktn_ag","CHF","fs"
"365","","2022","","aufwand","ktn_ag","CHF","fs"
"366","","2022","27439843.9","aufwand","ktn_ag","CHF","fs"
"369","","2022","","aufwand","ktn_ag","CHF","fs"
"380","","2022","15070055.22","aufwand","ktn_ag","CHF","fs"
"381","","2022","23494464.86","aufwand","ktn_ag","CHF","fs"
"383","","2022","","aufwand","ktn_ag","CHF","fs"
"384","","2022","","aufwand","ktn_ag","CHF","fs"
"3860","","2022","","aufwand","ktn_ag","CHF","fs"
"3861","","2022","","aufwand","ktn_ag","CHF","fs"
"3862","","2022","","aufwand","ktn_ag","CHF","fs"
"3863","","2022","","aufwand","ktn_ag","CHF","fs"
"3864","","2022","5692764","aufwand","ktn_ag","CHF","fs"
"3865","","2022","23448871.45","aufwand","ktn_ag","CHF","fs"
"3866","","2022","4107358","aufwand","ktn_ag","CHF","fs"
"3867","","2022","5492725","aufwand","ktn_ag","CHF","fs"
"3868","","2022","","aufwand","ktn_ag","CHF","fs"
"387","","2022","","aufwand","ktn_ag","CHF","fs"
"389","","2022","176396756.47","aufwand","ktn_ag","CHF","fs"
"4000","","2022","1706774609.13","ertrag","ktn_ag","CHF","fs"
"4001","","2022","207208107.84","ertrag","ktn_ag","CHF","fs"
"4002","","2022","87819229.16","ertrag","ktn_ag","CHF","fs"
"4008","","2022","","ertrag","ktn_ag","CHF","fs"
"4009","","2022","17024034.49","ertrag","ktn_ag","CHF","fs"
"4010","","2022","354600879.64","ertrag","ktn_ag","CHF","fs"
"4011","","2022","20448655.3","ertrag","ktn_ag","CHF","fs"
"4012","","2022","","ertrag","ktn_ag","CHF","fs"
"4019","","2022","16988695.76","ertrag","ktn_ag","CHF","fs"
"4020","","2022","","ertrag","ktn_ag","CHF","fs"
"4021","","2022","","ertrag","ktn_ag","CHF","fs"
"4022","","2022","97388057.6","ertrag","ktn_ag","CHF","fs"
"4023","","2022","55901778","ertrag","ktn_ag","CHF","fs"
"4024","","2022","54671121","ertrag","ktn_ag","CHF","fs"
"4025","","2022","","ertrag","ktn_ag","CHF","fs"
"4030","","2022","147291762.31","ertrag","ktn_ag","CHF","fs"
"4031","","2022","280974.6","ertrag","ktn_ag","CHF","fs"
"4032","","2022","","ertrag","ktn_ag","CHF","fs"
"4033","","2022","913960","ertrag","ktn_ag","CHF","fs"
"4039","","2022","","ertrag","ktn_ag","CHF","fs"
"4040","","2022","","ertrag","ktn_ag","CHF","fs"
"4041","","2022","","ertrag","ktn_ag","CHF","fs"
"4042","","2022","","ertrag","ktn_ag","CHF","fs"
"4043","","2022","","ertrag","ktn_ag","CHF","fs"
"4044","","2022","","ertrag","ktn_ag","CHF","fs"
"4045","","2022","","ertrag","ktn_ag","CHF","fs"
"4046","","2022","","ertrag","ktn_ag","CHF","fs"
"4047","","2022","","ertrag","ktn_ag","CHF","fs"
"4049","","2022","","ertrag","ktn_ag","CHF","fs"
"4050","","2022","","ertrag","ktn_ag","CHF","fs"
"4051","","2022","","ertrag","ktn_ag","CHF","fs"
"4052","","2022","","ertrag","ktn_ag","CHF","fs"
"4053","","2022","","ertrag","ktn_ag","CHF","fs"
"4059","","2022","","ertrag","ktn_ag","CHF","fs"
"4060","","2022","","ertrag","ktn_ag","CHF","fs"
"4070","","2022","","ertrag","ktn_ag","CHF","fs"
"4071","","2022","","ertrag","ktn_ag","CHF","fs"
"4072","","2022","","ertrag","ktn_ag","CHF","fs"
"4079","","2022","","ertrag","ktn_ag","CHF","fs"
"410","","2022","1740065.94","ertrag","ktn_ag","CHF","fs"
"411","","2022","319493031","ertrag","ktn_ag","CHF","fs"
"412","","2022","69937313.45","ertrag","ktn_ag","CHF","fs"
"413","","2022","47748029.28","ertrag","ktn_ag","CHF","fs"
"420","","2022","2827636.62","ertrag","ktn_ag","CHF","fs"
"421","","2022","109707066.37","ertrag","ktn_ag","CHF","fs"
"422","","2022","24202881.3","ertrag","ktn_ag","CHF","fs"
"423","","2022","2556216.22","ertrag","ktn_ag","CHF","fs"
"424","","2022","27080474.47","ertrag","ktn_ag","CHF","fs"
"425","","2022","18954955.54","ertrag","ktn_ag","CHF","fs"
"426","","2022","109794183.53","ertrag","ktn_ag","CHF","fs"
"427","","2022","38724171.33","ertrag","ktn_ag","CHF","fs"
"429","","2022","6330002.9","ertrag","ktn_ag","CHF","fs"
"430","","2022","453046.49","ertrag","ktn_ag","CHF","fs"
"431","","2022","","ertrag","ktn_ag","CHF","fs"
"432","","2022","14970","ertrag","ktn_ag","CHF","fs"
"439","","2022","1954149.43","ertrag","ktn_ag","CHF","fs"
"440","","2022","7424958.14","ertrag","ktn_ag","CHF","fs"
"441","","2022","277426.9","ertrag","ktn_ag","CHF","fs"
"442","","2022","","ertrag","ktn_ag","CHF","fs"
"443","","2022","137679.7","ertrag","ktn_ag","CHF","fs"
"444","","2022","1561262.64","ertrag","ktn_ag","CHF","fs"
"445","","2022","191073.76","ertrag","ktn_ag","CHF","fs"
"446","","2022","219462441.86","ertrag","ktn_ag","CHF","fs"
"447","","2022","21941489.95","ertrag","ktn_ag","CHF","fs"
"448","","2022","","ertrag","ktn_ag","CHF","fs"
"449","","2022","596306.93","ertrag","ktn_ag","CHF","fs"
"450","","2022","","ertrag","ktn_ag","CHF","fs"
"451","","2022","17880857.35","ertrag","ktn_ag","CHF","fs"
"452","","2022","","ertrag","ktn_ag","CHF","fs"
"46000","","2022","235513540.91","ertrag","ktn_ag","CHF","fs"
"46001","","2022","34296039","ertrag","ktn_ag","CHF","fs"
"46002","","2022","2562020.95","ertrag","ktn_ag","CHF","fs"
"46003","","2022","2227444","ertrag","ktn_ag","CHF","fs"
"46004","","2022","","ertrag","ktn_ag","CHF","fs"
"46005","","2022","20005214","ertrag","ktn_ag","CHF","fs"
"46006","","2022","","ertrag","ktn_ag","CHF","fs"
"46007","","2022","","ertrag","ktn_ag","CHF","fs"
"46008","","2022","29718792","ertrag","ktn_ag","CHF","fs"
"46009","","2022","27717","ertrag","ktn_ag","CHF","fs"
"46010","","2022","","ertrag","ktn_ag","CHF","fs"
"46011","","2022","","ertrag","ktn_ag","CHF","fs"
"46012","","2022","","ertrag","ktn_ag","CHF","fs"
"46019","","2022","","ertrag","ktn_ag","CHF","fs"
"4603","","2022","","ertrag","ktn_ag","CHF","fs"
"4604","","2022","","ertrag","ktn_ag","CHF","fs"
"4610","","2022","78522352.22","ertrag","ktn_ag","CHF","fs"
"4611","","2022","2136980.57","ertrag","ktn_ag","CHF","fs"
"4612","","2022","3753924.52","ertrag","ktn_ag","CHF","fs"
"4613","","2022","43787646.93","ertrag","ktn_ag","CHF","fs"
"4614","","2022","","ertrag","ktn_ag","CHF","fs"
"46201","","2022","276860040","ertrag","ktn_ag","CHF","fs"
"46202","","2022","","ertrag","ktn_ag","CHF","fs"
"46203","","2022","","ertrag","ktn_ag","CHF","fs"
"46204","","2022","","ertrag","ktn_ag","CHF","fs"
"46209","","2022","26031963","ertrag","ktn_ag","CHF","fs"
"46211","","2022","184573360","ertrag","ktn_ag","CHF","fs"
"46212","","2022","","ertrag","ktn_ag","CHF","fs"
"46213","","2022","","ertrag","ktn_ag","CHF","fs"
"46214","","2022","","ertrag","ktn_ag","CHF","fs"
"46215","","2022","","ertrag","ktn_ag","CHF","fs"
"46216","","2022","","ertrag","ktn_ag","CHF","fs"
"46217","","2022","","ertrag","ktn_ag","CHF","fs"
"46225","","2022","66658000","ertrag","ktn_ag","CHF","fs"
"46226","","2022","","ertrag","ktn_ag","CHF","fs"
"46227","","2022","","ertrag","ktn_ag","CHF","fs"
"46228","","2022","","ertrag","ktn_ag","CHF","fs"
"4624","","2022","","ertrag","ktn_ag","CHF","fs"
"4629","","2022","","ertrag","ktn_ag","CHF","fs"
"4630","","2022","531690309.97","ertrag","ktn_ag","CHF","fs"
"4631","","2022","8527431.38","ertrag","ktn_ag","CHF","fs"
"4632","","2022","656962281.22","ertrag","ktn_ag","CHF","fs"
"4633","","2022","","ertrag","ktn_ag","CHF","fs"
"4634","","2022","4641263.75","ertrag","ktn_ag","CHF","fs"
"4635","","2022","419405.5","ertrag","ktn_ag","CHF","fs"
"4636","","2022","","ertrag","ktn_ag","CHF","fs"
"4637","","2022","","ertrag","ktn_ag","CHF","fs"
"4638","","2022","","ertrag","ktn_ag","CHF","fs"
