"arten","funk","jahr","value","dim","hh","unit","model"
"100","","2022","262211878.7","bilanz","ktn_bs","CHF","fs"
"101","","2022","467146044.29","bilanz","ktn_bs","CHF","fs"
"102","","2022","111241671.99","bilanz","ktn_bs","CHF","fs"
"104","","2022","188983645.93","bilanz","ktn_bs","CHF","fs"
"106","","2022","12868539.5","bilanz","ktn_bs","CHF","fs"
"107","","2022","685403042.34","bilanz","ktn_bs","CHF","fs"
"108","","2022","3939507723.7","bilanz","ktn_bs","CHF","fs"
"109","","2022","","bilanz","ktn_bs","CHF","fs"
"140","","2022","4248713685.16","bilanz","ktn_bs","CHF","fs"
"141","","2022","","bilanz","ktn_bs","CHF","fs"
"142","","2022","42830359.19","bilanz","ktn_bs","CHF","fs"
"143","","2022","","bilanz","ktn_bs","CHF","fs"
"144","","2022","488814526.05","bilanz","ktn_bs","CHF","fs"
"145","","2022","1777883581.66","bilanz","ktn_bs","CHF","fs"
"146","","2022","238336374.75","bilanz","ktn_bs","CHF","fs"
"147","","2022","","bilanz","ktn_bs","CHF","fs"
"148","","2022","","bilanz","ktn_bs","CHF","fs"
"200","","2022","700588339.03","bilanz","ktn_bs","CHF","fs"
"201","","2022","500380000","bilanz","ktn_bs","CHF","fs"
"204","","2022","1223509808.82","bilanz","ktn_bs","CHF","fs"
"205","","2022","147215701.32","bilanz","ktn_bs","CHF","fs"
"206","","2022","2793939214.88","bilanz","ktn_bs","CHF","fs"
"207","","2022","","bilanz","ktn_bs","CHF","fs"
"208","","2022","136090247.62","bilanz","ktn_bs","CHF","fs"
"209","","2022","563297020.11","bilanz","ktn_bs","CHF","fs"
"290","","2022","172804011.86","bilanz","ktn_bs","CHF","fs"
"292","","2022","8205215.97","bilanz","ktn_bs","CHF","fs"
"293","","2022","","bilanz","ktn_bs","CHF","fs"
"294","","2022","","bilanz","ktn_bs","CHF","fs"
"295","","2022","","bilanz","ktn_bs","CHF","fs"
"296","","2022","56071009","bilanz","ktn_bs","CHF","fs"
"298","","2022","","bilanz","ktn_bs","CHF","fs"
"299","","2022","6161840504.65","bilanz","ktn_bs","CHF","fs"
"empty","","2022","","er","ktn_bs","CHF","fs"
"empty","","2022","","er","ktn_bs","CHF","fs"
"empty","","2022","","er","ktn_bs","CHF","fs"
"empty","","2022","","er","ktn_bs","CHF","fs"
"300","","2022","11711257.96","aufwand","ktn_bs","CHF","fs"
"301","","2022","810433070.09","aufwand","ktn_bs","CHF","fs"
"302","","2022","505102331.18","aufwand","ktn_bs","CHF","fs"
"303","","2022","1908434.14","aufwand","ktn_bs","CHF","fs"
"304","","2022","39563999.28","aufwand","ktn_bs","CHF","fs"
"305","","2022","326562839.38","aufwand","ktn_bs","CHF","fs"
"306","","2022","45342","aufwand","ktn_bs","CHF","fs"
"309","","2022","21387299.48","aufwand","ktn_bs","CHF","fs"
"310","","2022","50331225.03","aufwand","ktn_bs","CHF","fs"
"311","","2022","43558565.01","aufwand","ktn_bs","CHF","fs"
"312","","2022","28951235.37","aufwand","ktn_bs","CHF","fs"
"313","","2022","354367096.7","aufwand","ktn_bs","CHF","fs"
"314","","2022","59378674.56","aufwand","ktn_bs","CHF","fs"
"315","","2022","49080941.21","aufwand","ktn_bs","CHF","fs"
"316","","2022","292859074.74","aufwand","ktn_bs","CHF","fs"
"317","","2022","17261797.6","aufwand","ktn_bs","CHF","fs"
"318","","2022","32176474.29","aufwand","ktn_bs","CHF","fs"
"319","","2022","38136633.67","aufwand","ktn_bs","CHF","fs"
"320","","2022","","aufwand","ktn_bs","CHF","fs"
"331","","2022","","aufwand","ktn_bs","CHF","fs"
"337","","2022","246324682.22","aufwand","ktn_bs","CHF","fs"
"338","","2022","4634186.43","aufwand","ktn_bs","CHF","fs"
"340","","2022","7953889.99","aufwand","ktn_bs","CHF","fs"
"341","","2022","31028079.4","aufwand","ktn_bs","CHF","fs"
"342","","2022","1991291.33","aufwand","ktn_bs","CHF","fs"
"343","","2022","66986163.45","aufwand","ktn_bs","CHF","fs"
"344","","2022","172858617.84","aufwand","ktn_bs","CHF","fs"
"349","","2022","384065.65","aufwand","ktn_bs","CHF","fs"
"350","","2022","35794398","aufwand","ktn_bs","CHF","fs"
"351","","2022","","aufwand","ktn_bs","CHF","fs"
"352","","2022","","aufwand","ktn_bs","CHF","fs"
"3600","","2022","","aufwand","ktn_bs","CHF","fs"
"36010","","2022","","aufwand","ktn_bs","CHF","fs"
"36011","","2022","","aufwand","ktn_bs","CHF","fs"
"36012","","2022","","aufwand","ktn_bs","CHF","fs"
"36013","","2022","","aufwand","ktn_bs","CHF","fs"
"36014","","2022","","aufwand","ktn_bs","CHF","fs"
"36015","","2022","","aufwand","ktn_bs","CHF","fs"
"36016","","2022","","aufwand","ktn_bs","CHF","fs"
"36017","","2022","","aufwand","ktn_bs","CHF","fs"
"36018","","2022","","aufwand","ktn_bs","CHF","fs"
"36019","","2022","","aufwand","ktn_bs","CHF","fs"
"36021","","2022","","aufwand","ktn_bs","CHF","fs"
"36022","","2022","","aufwand","ktn_bs","CHF","fs"
"36023","","2022","","aufwand","ktn_bs","CHF","fs"
"36029","","2022","","aufwand","ktn_bs","CHF","fs"
"3603","","2022","","aufwand","ktn_bs","CHF","fs"
"3604","","2022","","aufwand","ktn_bs","CHF","fs"
"3610","","2022","","aufwand","ktn_bs","CHF","fs"
"3611","","2022","49555517.45","aufwand","ktn_bs","CHF","fs"
"3612","","2022","","aufwand","ktn_bs","CHF","fs"
"3613","","2022","","aufwand","ktn_bs","CHF","fs"
"3614","","2022","202599901.59","aufwand","ktn_bs","CHF","fs"
"3620","","2022","","aufwand","ktn_bs","CHF","fs"
"36211","","2022","137818140","aufwand","ktn_bs","CHF","fs"
"36212","","2022","","aufwand","ktn_bs","CHF","fs"
"36213","","2022","","aufwand","ktn_bs","CHF","fs"
"36214","","2022","2020491","aufwand","ktn_bs","CHF","fs"
"36215","","2022","","aufwand","ktn_bs","CHF","fs"
"36216","","2022","","aufwand","ktn_bs","CHF","fs"
"36217","","2022","","aufwand","ktn_bs","CHF","fs"
"36219","","2022","","aufwand","ktn_bs","CHF","fs"
"36221","","2022","","aufwand","ktn_bs","CHF","fs"
"36222","","2022","1421384","aufwand","ktn_bs","CHF","fs"
"36223","","2022","","aufwand","ktn_bs","CHF","fs"
"36224","","2022","","aufwand","ktn_bs","CHF","fs"
"36225","","2022","","aufwand","ktn_bs","CHF","fs"
"36226","","2022","","aufwand","ktn_bs","CHF","fs"
"36227","","2022","","aufwand","ktn_bs","CHF","fs"
"36228","","2022","","aufwand","ktn_bs","CHF","fs"
"3624","","2022","","aufwand","ktn_bs","CHF","fs"
"3629","","2022","","aufwand","ktn_bs","CHF","fs"
"3630","","2022","","aufwand","ktn_bs","CHF","fs"
"3631","","2022","81286722.38","aufwand","ktn_bs","CHF","fs"
"3632","","2022","1053","aufwand","ktn_bs","CHF","fs"
"3633","","2022","6028360.4","aufwand","ktn_bs","CHF","fs"
"3634","","2022","469396145.49","aufwand","ktn_bs","CHF","fs"
"3635","","2022","22739067.29","aufwand","ktn_bs","CHF","fs"
"3636","","2022","342244450.98","aufwand","ktn_bs","CHF","fs"
"3637","","2022","709808456.13","aufwand","ktn_bs","CHF","fs"
"3638","","2022","2114316.36","aufwand","ktn_bs","CHF","fs"
"3639","","2022","11252759.55","aufwand","ktn_bs","CHF","fs"
"364","","2022","122143053.62","aufwand","ktn_bs","CHF","fs"
"365","","2022","","aufwand","ktn_bs","CHF","fs"
"366","","2022","17717506.23","aufwand","ktn_bs","CHF","fs"
"369","","2022","","aufwand","ktn_bs","CHF","fs"
"380","","2022","18469000","aufwand","ktn_bs","CHF","fs"
"381","","2022","23575326.96","aufwand","ktn_bs","CHF","fs"
"383","","2022","","aufwand","ktn_bs","CHF","fs"
"384","","2022","","aufwand","ktn_bs","CHF","fs"
"3860","","2022","","aufwand","ktn_bs","CHF","fs"
"3861","","2022","","aufwand","ktn_bs","CHF","fs"
"3862","","2022","","aufwand","ktn_bs","CHF","fs"
"3863","","2022","","aufwand","ktn_bs","CHF","fs"
"3864","","2022","37600000","aufwand","ktn_bs","CHF","fs"
"3865","","2022","45950595.87","aufwand","ktn_bs","CHF","fs"
"3866","","2022","7117594","aufwand","ktn_bs","CHF","fs"
"3867","","2022","17835022","aufwand","ktn_bs","CHF","fs"
"3868","","2022","733014.64","aufwand","ktn_bs","CHF","fs"
"387","","2022","","aufwand","ktn_bs","CHF","fs"
"389","","2022","","aufwand","ktn_bs","CHF","fs"
"4000","","2022","1575572647.09","ertrag","ktn_bs","CHF","fs"
"4001","","2022","413625768.4","ertrag","ktn_bs","CHF","fs"
"4002","","2022","135579785.45","ertrag","ktn_bs","CHF","fs"
"4008","","2022","","ertrag","ktn_bs","CHF","fs"
"4009","","2022","","ertrag","ktn_bs","CHF","fs"
"4010","","2022","450843178.89","ertrag","ktn_bs","CHF","fs"
"4011","","2022","151496598.32","ertrag","ktn_bs","CHF","fs"
"4012","","2022","","ertrag","ktn_bs","CHF","fs"
"4019","","2022","","ertrag","ktn_bs","CHF","fs"
"4020","","2022","","ertrag","ktn_bs","CHF","fs"
"4021","","2022","30124502.65","ertrag","ktn_bs","CHF","fs"
"4022","","2022","123354692.34","ertrag","ktn_bs","CHF","fs"
"4023","","2022","53425613.43","ertrag","ktn_bs","CHF","fs"
"4024","","2022","35411977.46","ertrag","ktn_bs","CHF","fs"
"4025","","2022","","ertrag","ktn_bs","CHF","fs"
"4030","","2022","30828664.65","ertrag","ktn_bs","CHF","fs"
"4031","","2022","","ertrag","ktn_bs","CHF","fs"
"4032","","2022","","ertrag","ktn_bs","CHF","fs"
"4033","","2022","797156.82","ertrag","ktn_bs","CHF","fs"
"4039","","2022","","ertrag","ktn_bs","CHF","fs"
"4040","","2022","","ertrag","ktn_bs","CHF","fs"
"4041","","2022","","ertrag","ktn_bs","CHF","fs"
"4042","","2022","","ertrag","ktn_bs","CHF","fs"
"4043","","2022","","ertrag","ktn_bs","CHF","fs"
"4044","","2022","","ertrag","ktn_bs","CHF","fs"
"4045","","2022","","ertrag","ktn_bs","CHF","fs"
"4046","","2022","","ertrag","ktn_bs","CHF","fs"
"4047","","2022","","ertrag","ktn_bs","CHF","fs"
"4049","","2022","","ertrag","ktn_bs","CHF","fs"
"4050","","2022","","ertrag","ktn_bs","CHF","fs"
"4051","","2022","","ertrag","ktn_bs","CHF","fs"
"4052","","2022","","ertrag","ktn_bs","CHF","fs"
"4053","","2022","","ertrag","ktn_bs","CHF","fs"
"4059","","2022","","ertrag","ktn_bs","CHF","fs"
"4060","","2022","","ertrag","ktn_bs","CHF","fs"
"4070","","2022","","ertrag","ktn_bs","CHF","fs"
"4071","","2022","","ertrag","ktn_bs","CHF","fs"
"4072","","2022","","ertrag","ktn_bs","CHF","fs"
"4079","","2022","","ertrag","ktn_bs","CHF","fs"
"410","","2022","14223.85","ertrag","ktn_bs","CHF","fs"
"411","","2022","90894057","ertrag","ktn_bs","CHF","fs"
"412","","2022","28611409.89","ertrag","ktn_bs","CHF","fs"
"413","","2022","12631544.18","ertrag","ktn_bs","CHF","fs"
"420","","2022","151947.8","ertrag","ktn_bs","CHF","fs"
"421","","2022","81112629.15","ertrag","ktn_bs","CHF","fs"
"422","","2022","25640026.75","ertrag","ktn_bs","CHF","fs"
"423","","2022","30766124.09","ertrag","ktn_bs","CHF","fs"
"424","","2022","451127591.1","ertrag","ktn_bs","CHF","fs"
"425","","2022","28901948.06","ertrag","ktn_bs","CHF","fs"
"426","","2022","81983119.64","ertrag","ktn_bs","CHF","fs"
"427","","2022","22340446.51","ertrag","ktn_bs","CHF","fs"
"429","","2022","1790099.47","ertrag","ktn_bs","CHF","fs"
"430","","2022","8775961.8","ertrag","ktn_bs","CHF","fs"
"431","","2022","6420683.2","ertrag","ktn_bs","CHF","fs"
"432","","2022","","ertrag","ktn_bs","CHF","fs"
"439","","2022","29424236.99","ertrag","ktn_bs","CHF","fs"
"440","","2022","30170457.6","ertrag","ktn_bs","CHF","fs"
"441","","2022","31100340.17","ertrag","ktn_bs","CHF","fs"
"442","","2022","1398351.72","ertrag","ktn_bs","CHF","fs"
"443","","2022","141856310.35","ertrag","ktn_bs","CHF","fs"
"444","","2022","145220310.06","ertrag","ktn_bs","CHF","fs"
"445","","2022","3779012.22","ertrag","ktn_bs","CHF","fs"
"446","","2022","123720340","ertrag","ktn_bs","CHF","fs"
"447","","2022","35427865.99","ertrag","ktn_bs","CHF","fs"
"448","","2022","","ertrag","ktn_bs","CHF","fs"
"449","","2022","3368775.07","ertrag","ktn_bs","CHF","fs"
"450","","2022","35794398","ertrag","ktn_bs","CHF","fs"
"451","","2022","9092000","ertrag","ktn_bs","CHF","fs"
"452","","2022","","ertrag","ktn_bs","CHF","fs"
"46000","","2022","333632072.08","ertrag","ktn_bs","CHF","fs"
"46001","","2022","9562498","ertrag","ktn_bs","CHF","fs"
"46002","","2022","575114.76","ertrag","ktn_bs","CHF","fs"
"46003","","2022","626182","ertrag","ktn_bs","CHF","fs"
"46004","","2022","","ertrag","ktn_bs","CHF","fs"
"46005","","2022","4162880","ertrag","ktn_bs","CHF","fs"
"46006","","2022","","ertrag","ktn_bs","CHF","fs"
"46007","","2022","","ertrag","ktn_bs","CHF","fs"
"46008","","2022","7582436","ertrag","ktn_bs","CHF","fs"
"46009","","2022","7728","ertrag","ktn_bs","CHF","fs"
"46010","","2022","","ertrag","ktn_bs","CHF","fs"
"46011","","2022","","ertrag","ktn_bs","CHF","fs"
"46012","","2022","","ertrag","ktn_bs","CHF","fs"
"46019","","2022","","ertrag","ktn_bs","CHF","fs"
"4603","","2022","","ertrag","ktn_bs","CHF","fs"
"4604","","2022","","ertrag","ktn_bs","CHF","fs"
"4610","","2022","42122760.31","ertrag","ktn_bs","CHF","fs"
"4611","","2022","80149009.38","ertrag","ktn_bs","CHF","fs"
"4612","","2022","2584540.64","ertrag","ktn_bs","CHF","fs"
"4613","","2022","13130827.17","ertrag","ktn_bs","CHF","fs"
"4614","","2022","","ertrag","ktn_bs","CHF","fs"
"46201","","2022","","ertrag","ktn_bs","CHF","fs"
"46202","","2022","69936746","ertrag","ktn_bs","CHF","fs"
"46203","","2022","","ertrag","ktn_bs","CHF","fs"
"46204","","2022","","ertrag","ktn_bs","CHF","fs"
"46209","","2022","","ertrag","ktn_bs","CHF","fs"
"46211","","2022","","ertrag","ktn_bs","CHF","fs"
"46212","","2022","","ertrag","ktn_bs","CHF","fs"
"46213","","2022","","ertrag","ktn_bs","CHF","fs"
"46214","","2022","","ertrag","ktn_bs","CHF","fs"
"46215","","2022","","ertrag","ktn_bs","CHF","fs"
"46216","","2022","","ertrag","ktn_bs","CHF","fs"
"46217","","2022","","ertrag","ktn_bs","CHF","fs"
"46225","","2022","","ertrag","ktn_bs","CHF","fs"
"46226","","2022","7993007","ertrag","ktn_bs","CHF","fs"
"46227","","2022","","ertrag","ktn_bs","CHF","fs"
"46228","","2022","","ertrag","ktn_bs","CHF","fs"
